Iteration,four_corners_50_n4_human,four_corners_50_n4,four_corners_50_n8_human,four_corners_50_n8,non_n4_four_corners_50_1,non_n4_four_corners_50_2,non_n4_four_corners_50_3,human_n4_four_corners_50_1,human_n4_four_corners_50_2,human_n4_four_corners_50_3,non_n8_four_corners_50_1,non_n8_four_corners_50_2,non_n8_four_corners_50_3,human_n8_four_corners_50_1,human_n8_four_corners_50_2,human_n8_four_corners_50_3
74,957875131,958997612.5,289949822.2,291537676.6,546812691.7,3049053713,1911234085,679081134.6,7491526174,638235198.3,336470001.3,871637446.8,346788450.8,291973740.2,333522399.8,334810602.6
75,957875131,958997612.5,289949822.2,291537676.6,546812691.7,838703155.2,740931601.5,679081134.6,582392300.4,638235198.3,336470001.3,374484911.6,346788450.8,291973740.2,333522399.8,334810602.6
76,957875131,958997612.5,289949822.2,291537676.6,546812691.7,777073111.5,732755496.3,679081134.6,554574588.4,638235198.3,336470001.3,347609120.7,346788450.8,291973740.2,333522399.8,334810602.6
77,957875131,958997612.5,289949822.2,291537676.6,546812691.7,713631937.9,714873622.2,679081134.6,549133938.5,638235198.3,336470001.3,335061282.2,346788450.8,291973740.2,333522399.8,334810602.6
78,957875131,958997612.5,289949822.2,291537676.6,546812691.7,672352951.6,704033418.2,679081134.6,549133938.5,1572451758,336470001.3,327638559.2,346788450.8,291973740.2,333522399.8,334810602.6
79,957875131,958997612.5,289949822.2,291537676.6,546812691.7,647569238.4,691010756.5,679081134.6,549133938.5,712862169.9,336470001.3,314835103,346788450.8,291973740.2,333522399.8,334810602.6
80,957875131,958997612.5,289949822.2,291537676.6,546812691.7,642087298.7,690455117.3,679081134.6,549133938.5,672912507.4,336470001.3,308283563.7,346788450.8,291973740.2,333522399.8,334810602.6
81,957875131,958997612.5,289949822.2,291537676.6,546812691.7,640475875.5,678768092,679081134.6,549133938.5,650591178.3,336470001.3,297037288.5,346788450.8,291973740.2,333522399.8,334810602.6
82,957875131,958997612.5,289949822.2,291537676.6,546812691.7,636886367.6,678768092,679081134.6,549133938.5,647427246.7,336470001.3,294626885.8,346788450.8,291973740.2,333522399.8,334810602.6
83,957875131,958997612.5,289949822.2,291537676.6,546812691.7,636886367.6,678768092,679081134.6,549133938.5,647427246.7,336470001.3,290295573.7,346788450.8,291973740.2,333522399.8,334810602.6
84,957875131,958997612.5,289949822.2,291537676.6,546812691.7,636886367.6,678768092,679081134.6,549133938.5,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
85,957875131,958997612.5,289949822.2,291537676.6,546812691.7,636886367.6,678768092,679081134.6,549133938.5,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
86,957875131,958997612.5,289949822.2,291537676.6,546812691.7,636886367.6,678768092,679081134.6,549133938.5,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
87,957875131,958997612.5,289949822.2,291537676.6,546812691.7,636886367.6,678768092,679081134.6,549133938.5,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
88,957875131,958997612.5,289949822.2,291537676.6,546812691.7,636886367.6,678768092,679081134.6,549133938.5,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
89,957875131,958997612.5,289949822.2,291537676.6,546812691.7,636886367.6,678768092,679081134.6,549133938.5,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
90,957875131,958997612.5,289949822.2,291537676.6,546812691.7,636886367.6,678768092,679081134.6,549133938.5,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
91,957875131,958997612.5,289949822.2,291537676.6,546812691.7,636886367.6,678768092,679081134.6,549133938.5,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
92,957875131,958997612.5,289949822.2,291537676.6,546812691.7,636886367.6,678768092,679081134.6,549133938.5,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
93,957875131,958997612.5,289949822.2,291537676.6,546812691.7,1548439107,678768092,679081134.6,1688257493,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
94,957875131,958997612.5,289949822.2,291537676.6,546812691.7,648949655.3,678768092,679081134.6,788026222.3,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
95,957875131,958997612.5,289949822.2,291537676.6,546812691.7,620279779,678768092,679081134.6,759690601.1,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
96,957875131,958997612.5,289949822.2,291537676.6,546812691.7,597546590.5,678768092,679081134.6,715095372.4,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
97,957875131,958997612.5,289949822.2,291537676.6,546812691.7,568408670.5,678768092,679081134.6,680850324.1,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
98,957875131,958997612.5,289949822.2,291537676.6,546812691.7,548791398,678768092,679081134.6,656725252.7,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
99,957875131,958997612.5,289949822.2,291537676.6,546812691.7,548257298.8,678768092,679081134.6,650185883.1,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
100,957875131,958997612.5,289949822.2,291537676.6,546812691.7,548257298.8,678768092,679081134.6,649172422.5,647427246.7,336470001.3,290760177.3,346788450.8,291973740.2,333522399.8,334810602.6
101,957875131,958997612.5,289949822.2,291537676.6,,,,,,,,,,,,
102,957875131,958997612.5,289949822.2,291537676.6,,,,,,,,,,,,
103,957875131,958997612.5,289949822.2,291537676.6,,,,,,,,,,,,
104,957875131,958997612.5,289949822.2,291537676.6,,,,,,,,,,,,
105,957875131,958997612.5,289949822.2,291537676.6,,,,,,,,,,,,
106,957875131,958997612.5,289949822.2,291537676.6,,,,,,,,,,,,
107,957875131,958997612.5,289949822.2,291537676.6,,,,,,,,,,,,
108,957875131,958997612.5,289949822.2,291537676.6,,,,,,,,,,,,
109,957875131,958997612.5,289949822.2,291537676.6,,,,,,,,,,,,
110,957875131,958997612.5,289949822.2,291537676.6,,,,,,,,,,,,
111,2012220392,2284473999,289949822.2,291537676.6,,,,,,,,,,,,
112,1204903272,968808623.9,289949822.2,291537676.6,,,,,,,,,,,,
113,1118856760,968808623.9,289949822.2,291537676.6,,,,,,,,,,,,
114,1087651274,968808623.9,289949822.2,291537676.6,,,,,,,,,,,,
115,1071319727,968808623.9,289949822.2,291537676.6,,,,,,,,,,,,
